Type,Category,Romanized,Variants,Cantonese,Mandarin,English,needs_review
phrase,Criminal terminology,sai taai ping dei,,洗太平地,,Literally means hose washing of public places; To disrupt a business of Triad Society or illegal gangs by regular patrolling or spot checking,False
phrase,Criminal terminology,sai tau teng,,洗頭艇,,"Literally means Shampoo boat; Illegal high-speed ferry, a sea transportation tool crossing border without official immigration procedure",False
phrase,Criminal terminology,san jau si,,身有屎,,Literally means Feces on the body; Skeleton in the closet,False
phrase,Criminal terminology,si piu,,撕票,,To Kill the kidnappee,False
phrase,Criminal terminology,sik sei maau,,食死貓,,Literally to eat a dead cat; To be a Scapegoat,False
phrase,Criminal terminology,tiu fui,,跳灰,,"Literally means Jumping ash (Running powder); Drug trafficking, especially for Heroin",False
phrase,Criminal terminology,tong sei ngau,,劏死牛,,"Literally to butcher a dead cow; To rob somebody in quiet place, especially in night time",False
phrase,Criminal terminology,zap si,,執屍,,Literally means collect or take a corpse; To rape drunk or unconscious female,False
phrase,Criminal terminology,zau fan,,走粉,,"Literally means Jumping ash (Running powder); Drug trafficking, especially for Heroin",False
phrase,Criminal terminology,zek zau,,隻揪,,One-against-one fight,False
phrase,Criminal terminology,zoek cou,,著草,,Literally to wear grass; To flee,False
phrase,Criminal terminology,zuk wong goek gai,,捉黃腳雞,,Literally to catch yellow-foot chicken; Badger game,False
phrase,Department,caai gun,,差館,,Police station,False
phrase,Department,lau gei,,柳記,,Hong Kong Correctional Services Department (CSD),False
phrase,Department,lou lim,,老廉,,"Etymology: 老 (""meaningless prefix"") + 廉 (廉潔 means incorruptible); ICAC",False
phrase,Department,o gei,,O記,,Organised Crime and Triad Bureau (OCTB) of Hong Kong Police Force,False
phrase,Electricity,lou syu mei,,老鼠尾,,Literally means Mouse/Rat tail; RCBO,False
phrase,Electricity,seoi sin,,水線,,Literally means Water-wire; Earth Wire,False
phrase,Electricity,seoi zung,,水總,,RCCB,False
phrase,Electricity,tar biu,,tar表,,Multimeter,False
phrase,Electricity,tiu zai,,跳掣,,Literally to jump the switch; To trip circuit breaker,False
phrase,English Idioms,coeng geng,,搶鏡,,Literally to rob of Mirror; Steal the show,False
phrase,English Idioms,ding nei m seon,,頂你唔順,,You make me sick!,False
phrase,English Idioms,sai sap zo go tau,,洗濕左個頭,,"Literally means that hair is already wet, might as well wash it; What is done cannot be undone. (already committed; already involved; too late to back out; have to see it through)",False
phrase,Foods and Drinks,baak tong,,白湯,,Literally means White soup; Chowder or Cream of mushroom soup,False
phrase,Foods and Drinks,daan daat,,蛋撻,,Egg tart,False
phrase,Foods and Drinks,gai daan zai,,雞蛋仔,,Literally means Chicken egg-son; Egg waffle,False
phrase,Foods and Drinks,ho laan seoi,,荷蘭水,,Literally means Dutch water; Carbonated water or Soft drink,False
phrase,Foods and Drinks,hung tong,,紅湯,,Literally means Red soup; Borscht,False
phrase,Foods and Drinks,min zi,,免治,,"Sound like the English word ""Mince""; Mincing",False
phrase,Foods and Drinks,ngai gwaa,,矮瓜,,Literally means Short melon; Aubergine (Eggplant),False
phrase,Foods and Drinks,waan jyu,,鯇魚,,Grass carp,False
phrase,Football,caap faa,,插花,,Literally means flower bouquet; Step over,False
phrase,Football,caau gaai laan,,炒芥蘭,,Literally to stir-fry Chinese broccoli; A football player get injured thigh tendons or muscles by crashing someone's kneel leg or hard body,False
phrase,Football,dei biu zin,,地標戰,,"Literally to landmark-battle, but 地標 sounds like the English/French word ""debut""; Debut",False
phrase,Football,fu tim,,夫添,,"Sound like English word, ""full team""; Football squad without any injury, sickness or suspension",False
phrase,Football,jin haak,,宴客,,Literally to hold a banquet; To miss a penalty,False
phrase,Football,lai hang gung si,,例行公事,,Literally means routine job; Dead rubber,False
phrase,Football,ngau baa bui,,歐霸盃,,UEFA Europa League,False
phrase,Football,ngau lyun,,歐聯,,UEFA Champions League,False
phrase,Football,sik bo beng,,食波餅,,Literally to eat ball biscuit; Someone's head or face gets hit by a football,False
phrase,Football,tung haang keoi,,通坑渠,,Literally to unblock sewer pipes or clogged wastewater drain; Nutmeg,False
phrase,Football,wo lei,,窩利,,"Sounds like the English word ""volley""; Volley",False
phrase,Foul language,ham gaa caan,,冚家剷,,Literally means Whole family die; Common curse phrase for someone's whole family being death and bulldozed,False
phrase,Foul language,jaak ziu,,吔蕉,,"Literally to eat banana; a vulgar way of expressing hostility and strong irritation, ""Piss off!""",False
phrase,Foul language,saap ngong,,霎戇,,"(of a decision) Stupid, Ignorant or Ridiculous",False
phrase,Gun,kuk cek,,曲尺,,Literally means Crooker-ruler; Semi-automatic pistol,False
phrase,Gun,zo leon,,左輪,,Literally means left-wheel-gun; Revolver,False
phrase,Love and Sex,ce kei,,扯旗,,Literally to raise a flag; Penile erection,False
phrase,Love and Sex,ceoi siu,,吹簫,,Literally to play Xiao; Women performing Oral sex for men,False
phrase,Love and Sex,daa fei gei,,打飛機,,Literally to Hit the aeroplane; Male Masturbation,False
phrase,Love and Sex,din dang daam,,電燈膽,,Literally means Light bulb; Third wheel,False
phrase,Love and Sex,m gan,,M巾,,"M for Menstrual, 巾 means towel in Chinese; Sanitary Napkin",False
phrase,Love and Sex,maai fei fat,,賣飛佛,,"Sound like English words ""My favorite""; My favorite, this slang originated from Ron Ng's Hong Kong English",False
phrase,Love and Sex,sei zai,,四仔,,"Literally means ""Four"" son; Pornographic films",False
phrase,Love and Sex,sik to haai faan,,食拖鞋飯,,Literally to eat soft rice (to eat slippers' rice); To sponge off women,False
phrase,Love and Sex,sik yun faan,,食軟飯,,Literally to eat soft rice (to eat slippers' rice); To sponge off women,False
phrase,Love and Sex,taat zoek,,撻著,,Literally to ignite a fire; two people fall in love and become a couple,False
phrase,Love and Sex,tau sik,,偷食,,"Literally to sneak food; Adultery, Infidelity or Two-time",False
phrase,Medical,baau gong,,爆江,,Literally to rupture a river / crock; Bleeding,False
phrase,Medical,daap kiu,,搭橋,,Literally to build a bridge; Coronary Artery Bypass Grafting (CABG),False
phrase,Medical,hei gai pei,,起雞皮,,Literally to raise chicken skin; To get Goose bumps,False
phrase,Medical,siu ji fo,,小兒科,,Literally means Pediatric; 1). - Pediatric. 2.) - Child's Play or Insignificant things,False
phrase,Medical,tung bo zai,,通波仔,,Literally to make something smooth by a small ball; Angioplasty,False
phrase,Medical,wong luk ji saang,,黃綠醫生 / 黃六醫生,,Literally means Yellow green doctor / Yellow six doctor; Quackery,False
phrase,Non-football,caai roller,,踩roller,,踩 means step on; Playing roller skating,False
phrase,Non-football,daat q,,撻Q,,Q sound like cue; To miss one's (snooker) cue,False
phrase,Non-football,duk bo,,篤波,,Playing snooker,False
phrase,Non-football,jap zeon,,入樽,,Literally to put something into bottle; Slam dunk of basketball,False
phrase,Non-football,luk ling,,轆齡,,"轆 / 碌 means wheel (as noun) or roll (as verb), 拎 / 齡 sounds like English word lane; Playing bowling (in Chinese, 保""齡""球)",False
phrase,Non-football,wong cou fe laam pink,,黃-草-啡-藍-Pink,,Literally means Yellow - Grass - Coffee / Brown - Blue - Pink; Slang of snooker colour ball except Black,False
phrase,Other,be ling,,啤令,,"Sound like the English words ""Bearing""; Bearing",False
phrase,Other,jin so,,燕梳,,"Literally means Swallow-Comb, sound like the English word ""Insure""; Insurance",False
phrase,Other,si baa naa,,士巴拿,,"Sounds like the English words ""Spanner""; Wrench or Shifter",False
phrase,Others,baan haai,,扮蟹,,To behave pretentiously,False
phrase,Others,ceoi seoi,,吹水,,Literally to blow water; Chit-chatting,False
phrase,Others,chyun zeoi,,串嘴,,To behave arrogantly and rudely,False
phrase,Others,cim seoi,,潛水,,Literally means underwater diving; to disappear or Lurker,False
phrase,Others,daa zim,,打尖,,Cutting in line,False
phrase,Others,dik hon,,滴汗,,Literally to sweat; to feel speechless and reticent,False
phrase,Others,dit ngaan geng,,跌眼鏡,,"Literally to have an O-shaped mouth (to drop glasses); To feel astonished and stunned, meaning 'oh my gosh'. The jaw drops and the shape of the mouth resembles the English letter, O",False
phrase,Others,diu jyu,,釣魚,,Literally to fish; To nod off / drift off / doze off,False
phrase,Others,dou baak tau pin,,賭白頭片,,To bet money on something or to gamble while not having enough money to pay if one loses,False
phrase,Others,fei lou,,肥佬,,"Literally means ""fat man"" but sounds like English word ""fail""; Failing an examination",False
phrase,Others,fong fei gei,,放飛機,,Literally to fly an aeroplane; To fail to turn up on a date / To stand somebody up,False
phrase,Others,fu luk,,負碌,,"Sounds like the English word ""Fluke""; meaning something that is unlikely or surprising and only happens because of luck",False
phrase,Others,gaau cyun go party,,搞串個party,,Party pooping,False
phrase,Others,gei daai,,幾歹,,"As adverb, Whatever",False
phrase,Others,gwai cuk,,龜速,,Literally means turtle speed; extremely slow speed,False
phrase,Others,hou daai,,好歹,,"As adverb, Whatever",False
phrase,Others,jyut ging post,,月經Post,,,False
phrase,Others,jyut ging tip,,月經帖,,,False
phrase,Others,laang hei gwan si,,冷氣軍師,,Literally means an adviser inside an air-conditioning room; Armchair expert or Keyboard warrior,False
phrase,Others,lau daa,,摟打,,To make someone angry and provoke someone for fighting,False
phrase,Others,liu gaau daa,,撩交打,,To make someone angry and provoke someone for fighting,False
phrase,Others,mou laa laa,,無啦啦,,"As adverb, Out of the blue (Suddenly and unexpectedly)",False
phrase,Others,o zeoi,,O嘴,,"Literally to have an O-shaped mouth (to drop glasses); To feel astonished and stunned, meaning 'oh my gosh'. The jaw drops and the shape of the mouth resembles the English letter, O",False
phrase,Others,or si fat han,,"屎忽痕, Literally means buttocks itch.",,"As adverb, Out of the blue (Suddenly and unexpectedly)",False
phrase,Others,pan faan,,噴飯,,"Literally meaning is ""spitting rice""; something makes you burst into laughter",False
phrase,Others,pou tau,,蒲頭,,To appear,False
phrase,Others,put laang seoi,,潑冷水,,Literally to pour cold water on somebody or something; To dampen somebody's enthusiasm / to put a damper on something / discourage someone from doing something,False
phrase,Others,sap buk,,十卜,,"Sounds like the English word ""Support""; To cheer someone up",False
phrase,Others,sat ging mou san,,失驚無神,,"As adverb, Out of the blue (Suddenly and unexpectedly)",False
phrase,Others,sing ne,,升呢,,To gain a higher level in video game or Promotion,False
phrase,Others,sou zau si,,蘇州屎,,Literally means Suzhou feaces; Hot potato,False
phrase,Others,tip si,,貼士,,"Sound like the English word ""Tips""; 1). - Hints (Tips). 2). - Gratuity (Tip)",False
phrase,Others,wat gei,,屈機,,Literally to break a machine into two pieces; an adjective describing someone who is tremendous and excellent,False
phrase,Others,zau sou,,走數,,Literally means to run away from one's debts; to chicken out or failing to keep promise,False
phrase,Steak cooking levels,cat sing suk,,七成熟,,Literally means 70% cooked; Medium well,False
phrase,Steak cooking levels,cyun suk,,全熟,,Literally means fully cooked; Well done,False
phrase,Steak cooking levels,jat sing suk,,一成熟,,Literally means 10% cooked; Rare,False
phrase,Steak cooking levels,ng sing suk,,五成熟,,Literally means 50% cooked; Medium,False
phrase,Steak cooking levels,saam sing suk,,三成熟,,Literally means 30% cooked; Medium rare,False
phrase,Unit of Money,cing haai,,青蟹,,Literally means Green crab; Hong Kong ten-dollar note (issued in 1982-85 by HSBC),False
phrase,Unit of Money,daai ngau,,大牛,,Literally means Big Buffalo; Hong Kong five hundred-dollar note,False
phrase,Unit of Money,faa haai,,花蟹,,Literally means Flower crab; Hong Kong ten-dollar note (issued in 2002-2005 by Hong Kong government),False
phrase,Unit of Money,gaau haai,,膠蟹,,"Literally means Plastic crab; Hong Kong ten-dollar note (issued in 2007-2018 by Hong Kong government, made of polymer)",False
phrase,Unit of Money,gam ngau,,金牛,,Literally means Golden Cow; Hong Kong one thousand-dollar note,False
phrase,Unit of Money,hou zi,,毫子,,10 Cents,False
phrase,Unit of Money,hung saam jyu,,紅衫魚,,Literally means Red clothes fish (Nemipterus virgatus); Hong Kong one hundred-dollar note (red colour),False
phrase,Unit of Money,or pun,,盤,,"Literally means Skin, Granular, Basin or sink-shaped respectively; 10,000 Dollars",False
phrase,Vehicle,bo soeng,,波箱,,Literally means Wave-Box; Gear Box,False
phrase,Vehicle,ce paai,,車牌,,Literally means Vehicle License; 1.) - Vehicle registration plate. 2.) - Driver's license,False
phrase,Vehicle,din daan ce,,電單車,,Literally means Electric bike - Motorcycle,False
phrase,Vehicle,gik lik zi,,極力子,,Sound like the English word Clutch; Clutch,False
phrase,Vehicle,gwan bo,,棍波,,Literally means Stick-Gear Box; Manual transmission,False
phrase,Vehicle,zi dung bo,,自動波,,Literally means Automation-Gear Box; Automatic Transmission,False
phrase,adj,ho chi,hou chi,好似,好像,seem like,False
phrase,adj,hoi sum,,開心,开心,happy,False
phrase,adj,hou gui,,好攰,很累,tired,False
phrase,daily,chut moon,,出門,出门,go out,False
phrase,daily,leng jai,,靚仔,帅哥,handsome guy,False
phrase,daily,leng nui,,靚女,美女,pretty girl,False
phrase,en,bye bye,,再见,再见,goodbye,False
phrase,en,game over,,完蛋,完蛋,finished,False
phrase,en,no eye see,,不理睬,不理睬,ignore,False
phrase,en,no money no talk,,没钱免谈,没钱免谈,no money no talk,False
phrase,en,part time,,兼职,兼职,part-time job,False
phrase,expression,arm arm,,啱啱,刚刚,just now,False
phrase,expression,do jeh,dor tse,多謝,谢谢,thank you,False
phrase,expression,dou duk,,都得,都可以,also okay,False
phrase,expression,fly up,,fly up,甩掉（对象）,break up,True
phrase,expression,ga yau,"garyau,gayau",加油,加油,keep it up,False
phrase,expression,game over,,game over,完蛋,finished,True
phrase,expression,gum l jeng,,咁L讚,,,False
phrase,expression,hai mm hai,,係唔係,是不是,is it,False
phrase,expression,ho la,,好啦,好了,okay then,False
phrase,expression,mm gan yiu,,唔緊要,没关系,it's okay,False
phrase,expression,mm goi,,唔該,麻烦/谢谢,excuse me,False
phrase,expression,mm ho gum la,,唔好咁啦,不要这样,don't do this,False
phrase,expression,mm sai,,唔使,不用,no need,False
phrase,expression,no eye see,,no eye see,不理睬,ignore,True
phrase,expression,no money no talk,,no money no talk,没钱免谈,no money no talk,True
phrase,expression,siu sei,,笑死,笑死,so funny,False
phrase,greeting,bye bye,,bye bye,再见,goodbye,True
phrase,logic,bei mm bei,,俾唔俾,给不给,give or not,False
phrase,logic,can mm can,"duc mm duc,duk mm duk",得唔得,可不可以,can or not,False
phrase,logic,gen hai la,,梗係啦,当然,of course,False
phrase,logic,sai mm sai,,使唔使,需不需要,need or not,False
phrase,phrase,zip liba,,摺利是,摺利是,fold red packet,False
phrase,pronoun,keoi dei,kui dei,佢哋,他们,they,False
phrase,pronoun,nei dei,,你哋,你们,you all,False
phrase,pronoun,ngo dei,,我哋,我们,we,False
phrase,question,bin go,,邊個,谁,who,False
phrase,question,dim gai,,點解,为什么,why,False
phrase,question,gei do,,幾多,多少,how many,False
phrase,question,gei si,,幾時,什么时候,when,False
phrase,question,mat ye,,乜嘢,什么,what,False
phrase,question,meh si,mehsi,咩事,什么事,what happened,False
phrase,slang,7 head,,,,calling someone extremely foolish,True
phrase,slang,add friend,,,,a playful way of saying someone is flirting online,True
phrase,slang,baan ju sik lo fu,,扮豬食老虎,,manipulate someone into a false sense of security,False
phrase,slang,bo chap,,,,"a carefree, ""I don't care"" attitude",True
phrase,slang,cha siu,,,,being roasted or embarrassed publicly,True
phrase,slang,daai din,,大癲,,very crazy/wild; go-to reaction phrase for shocking or unbelievable news,False
phrase,slang,daai luk mo,,戴綠帽,,symbolizes that your significant other is cheating on you,False
phrase,slang,dai sei,,,,a situation that feels completely doomed,True
phrase,slang,dak sei,,,,used when someone's bad outcome feels deserved,True
phrase,slang,face black,,黑面,,someone clearly looks angry or annoyed,False
phrase,slang,fai seui,,,,Taiwanese-style sugary drinks that are high in calories,True
phrase,slang,fong seem,,放閃,,blinding radiance emitted by lovebirds displaying affection,False
phrase,slang,fut hai,,佛系,,takes a nonchalant / carefree attitude towards life,False
phrase,slang,gai tung aap gong,,雞同鴨講,,people unable to properly communicate with each other,False
phrase,slang,gum geen fun,,,,"relationship advice that's always ""you should break up""",True
phrase,slang,hak hei,,,,a feeling of bad luck or negative energy,True
phrase,slang,ho seh,,,,expresses sympathy for someone in a bad situation,True
phrase,slang,jah ba si,,,,someone who's had too many drinks and is about to be sick,True
phrase,slang,jee fei,,自肥,,using sneaky means to benefit yourself / line your own pockets,False
phrase,slang,juet juet zee,,絕絕子,,"the absolute best, or ironically, completely awful",False
phrase,slang,juk chung,,,,"get yourself into trouble, causing unnecessary difficulties",True
phrase,slang,keh ngau wun ma,,騎牛搵馬,,working one job while looking for a better one,False
phrase,slang,laap flag,,,,"being vocal about plans/goals, but the result ends up the complete opposite",True
phrase,slang,lai yeh,,,,gotten themselves into some sort of spectacular disaster,True
phrase,slang,lam chai,,,,a boyfriend who is overly clingy,True
phrase,slang,ling zyun,,0尊,,zero respect; used to call out anyone disrupting your peace,False
phrase,slang,lok gau si,,,,"raining heavily (like ""raining cats and dogs"")",True
phrase,slang,mo sor wai,,無所謂,无所谓,I don't mind / don't care either way,False
phrase,slang,mou lei tau,,無厘頭,,"absurd or nonsense humor, common in Cantonese comedy",False
phrase,slang,ngaam aa,,啱啊,,that's right — said with a condescending twist to subtly show disapproval while superficially agreeing,False
phrase,slang,sai jat,,世一,,world's number one; highest possible praise for something top-tier (short for 世界第一),False
phrase,slang,sau bing,,收兵,,accumulating male friends to friend-zone and use them,False
phrase,slang,seew hok gai,,小學雞,,acting immature and foolish,False
phrase,slang,siu hak,,,,a small-time troublemaker who likes causing drama,True
phrase,slang,sou dei aa sum,so di ah sum,掃地啊嬸,,the cleaning lady who drops by your office,False
phrase,slang,sze lei,,,,acting overly dramatic or intense,True
phrase,slang,tong ping,,躺平,躺平,"lie flat; doing as little as possible, opting out of the rat race",False
phrase,slang,waai gwor yuen ting,,壞過婉婷,,very bad or very naughty,False
phrase,slang,wui shui,,回水,,refund money to a customer,False
phrase,slang,wun gut,,運桔/吉,,mess about and not help or contribute meaningfully at all,False
phrase,slang,yau mo,,有冇搞錯,,"expresses disbelief, similar to ""Seriously?""",False
phrase,slang,yeung gwor,,陽過,,contracted and recovered from Covid-19,False
phrase,time,gam jat,,今日,今天,today,False
phrase,time,kam jat,,琴日,昨天,yesterday,False
phrase,time,ting jat,,聽日,明天,tomorrow,False
phrase,time,yi ga,,而家,现在,now,False
phrase,verb,chut lei,,出嚟,出来,come out,False
phrase,verb,chut lei,,出來,出来,come out,False
phrase,verb,faan gung,,返工,上班,go to work,False
phrase,verb,faan hok,,返學,上学,go to school,False
phrase,verb,faan uk,,返屋企,回家,go home,False
phrase,verb,fan gaau,,瞓覺,睡觉,sleep,False
phrase,verb,sik ye,,食嘢,吃东西,eat,False
phrase,work,part time,,做part time,兼职,part-time job,False
phrase,俚语,gg la,,GG啦,完蛋了,we’re done,False
phrase,俚语,gum l jeng,,咁L正,超棒,very awesome,False
phrase,俚语,hoi sem,,開sem,新學期開始,new semester start,False
phrase,俚语,pok gai,,仆街,去死,vulgar insult,False
phrase,俚语,sau pei,saau pei,收皮,结束,shut up,False
phrase,俚语,yuen sem,,完sem,學期結束,end semester,False
phrase,学校/日常,gg la,,完蛋啦,完蛋了,we're done for,False
phrase,学校/日常,late drop,,退課,退課,drop a course,False
phrase,常用句,yuen loi,,原來,原来,turns out,False
phrase,日常,zip liba,,摺liba,自习,study,False
phrase,补充,gum jeng,,咁正,很棒,so good,False
phrase,补充,hoi sum d,,開心啲,开心点,be happier,False
phrase,,can mm can,,can唔can,可不可以,,False
phrase,,chuk gai,,出街,出门逛街,,False
phrase,,da binlo,,打邊爐,吃火锅,,False
phrase,,gen hai la,,梗系啦,当然啦,,False
phrase,,hai gua,,係啩,是吧,,False
