Type,Category,Romanized,Variants,Cantonese,Mandarin,English,Source
phrase,Steak cooking levels,cat sing suk,,七成熟,,Literally means 70% cooked; Medium well,wikipedia:Hong_Kong_slanguage
phrase,Steak cooking levels,cyun suk,,全熟,,Literally means fully cooked; Well done,wikipedia:Hong_Kong_slanguage
token,Foul language,diu,,屌 / 𨳒,,Fuck,wikipedia:Hong_Kong_slanguage
phrase,Foul language,ham gaa caan,,冚家剷,,Literally means Whole family die; Common curse phrase for someone's whole family being death and bulldozed,wikipedia:Hong_Kong_slanguage
phrase,Foul language,jaak ziu,,吔蕉,,"Literally to eat banana; a vulgar way of expressing hostility and strong irritation, ""Piss off!""",wikipedia:Hong_Kong_slanguage
phrase,Foul language,saap ngong,,霎戇,,"(of a decision) Stupid, Ignorant or Ridiculous",wikipedia:Hong_Kong_slanguage
phrase,Foul language,sau pei,,收皮,,"Literally to collect skin; Knock it off, similar meaning as 吔蕉 in slang",wikipedia:Hong_Kong_slanguage
phrase,Love and Sex,ce kei,,扯旗,,Literally to raise a flag; Penile erection,wikipedia:Hong_Kong_slanguage
phrase,Love and Sex,ceoi siu,,吹簫,,Literally to play Xiao; Women performing Oral sex for men,wikipedia:Hong_Kong_slanguage
phrase,Love and Sex,daa fei gei,,打飛機,,Literally to Hit the aeroplane; Male Masturbation,wikipedia:Hong_Kong_slanguage
phrase,Love and Sex,din dang daam,,電燈膽,,Literally means Light bulb; Third wheel,wikipedia:Hong_Kong_slanguage
token,Love and Sex,gai,,雞,,Literally means Chicken; Female sex worker,wikipedia:Hong_Kong_slanguage
phrase,Love and Sex,m gan,,M巾,,"M for Menstrual, 巾 means towel in Chinese; Sanitary Napkin",wikipedia:Hong_Kong_slanguage
phrase,Love and Sex,maai fei fat,,賣飛佛,,"Sound like English words ""My favorite""; My favorite, this slang originated from Ron Ng's Hong Kong English",wikipedia:Hong_Kong_slanguage
token,Love and Sex,ngaap,,鴨,,Literally means Duck; Male prostitution or Gigolo,wikipedia:Hong_Kong_slanguage
phrase,Love and Sex,sei zai,,四仔,,"Literally means ""Four"" son; Pornographic films",wikipedia:Hong_Kong_slanguage
phrase,Love and Sex,sik yun faan,,食軟飯,,Literally to eat soft rice (to eat slippers' rice); To sponge off women,wikipedia:Hong_Kong_slanguage
phrase,Love and Sex,sik to haai faan,,食拖鞋飯,,Literally to eat soft rice (to eat slippers' rice); To sponge off women,wikipedia:Hong_Kong_slanguage
phrase,Love and Sex,taat zoek,,撻著,,Literally to ignite a fire; two people fall in love and become a couple,wikipedia:Hong_Kong_slanguage
phrase,Love and Sex,tau sik,,偷食,,"Literally to sneak food; Adultery, Infidelity or Two-time",wikipedia:Hong_Kong_slanguage
